symbol,venue,timeframe,don_len,breakouts_total,breakouts_24h,last_breakout_utc,note
SYRUP/USDT,spot,1m,20,147,147,2025-08-12 05:43,ok
CVX/USDT,spot,1m,20,142,142,2025-08-12 05:21,ok
SUI/USDT,spot,1m,20,140,140,2025-08-12 05:42,ok
OG/USDT,spot,1m,20,133,133,2025-08-12 05:43,ok
XRP/USDT,spot,1m,20,133,133,2025-08-12 05:41,ok
PENGU/USDT,spot,1m,20,130,130,2025-08-12 05:46,ok
ARB/USDT,spot,1m,20,129,129,2025-08-12 05:33,ok
ATOM/USDT,spot,1m,20,125,125,2025-08-12 05:32,ok
ENS/USDT,spot,1m,20,125,125,2025-08-12 05:43,ok
GAS/USDT,spot,1m,20,123,123,2025-08-12 05:27,ok
LQTY/USDT,spot,1m,20,123,123,2025-08-12 05:22,ok
ORCA/USDT,spot,1m,20,123,123,2025-08-12 05:31,ok
QNT/USDT,spot,1m,20,122,122,2025-08-12 05:32,ok
DIA/USDT,spot,1m,20,121,121,2025-08-12 05:47,ok
ETHFI/USDT,spot,1m,20,121,121,2025-08-12 05:43,ok
KAITO/USDT,spot,1m,20,121,121,2025-08-12 05:33,ok
PSG/USDT,spot,1m,20,120,120,2025-08-12 05:47,ok
LPT/USDT,spot,1m,20,119,119,2025-08-12 05:43,ok
CAKE/USDT,spot,1m,20,118,118,2025-08-12 05:46,ok
INIT/USDT,spot,1m,20,117,117,2025-08-12 05:33,ok
BERA/USDT,spot,1m,20,116,116,2025-08-12 05:28,ok
ICP/USDT,spot,1m,20,116,116,2025-08-12 05:21,ok
NXPC/USDT,spot,1m,20,116,116,2025-08-12 05:40,ok
XLM/USDT,spot,1m,20,114,114,2025-08-12 05:21,ok
SEI/USDT,spot,1m,20,110,110,2025-08-12 05:34,ok
COMP/USDT,spot,1m,20,108,108,2025-08-12 05:43,ok
CYBER/USDT,spot,1m,20,108,108,2025-08-12 05:26,ok
GMX/USDT,spot,1m,20,106,106,2025-08-12 05:21,ok
CFX/USDT,spot,1m,20,104,104,2025-08-12 05:32,ok
GNO/USDT,spot,1m,20,104,104,2025-08-12 05:48,ok
RPL/USDT,spot,1m,20,99,99,2025-08-12 05:30,ok
KAVA/USDT,spot,1m,20,98,98,2025-08-12 05:27,ok
PNUT/USDT,spot,1m,20,98,98,2025-08-12 05:46,ok
CITY/USDT,spot,1m,20,96,96,2025-08-12 05:43,ok
ERA/USDT,spot,1m,20,96,96,2025-08-12 05:33,ok
KSM/USDT,spot,1m,20,88,88,2025-08-12 05:32,ok
AUCTION/USDT,spot,1m,20,86,86,2025-08-12 05:45,ok
THETA/USDT,spot,1m,20,79,79,2025-08-12 05:30,ok
ALCX/USDT,spot,1m,20,71,71,2025-08-12 05:36,ok
IO/USDT,spot,1m,20,67,67,2025-08-12 05:21,ok
STX/USDT,spot,1m,20,66,66,2025-08-12 05:27,ok
ARKM/USDT,spot,1m,20,50,50,2025-08-12 05:25,ok
OMNI/USDT,spot,1m,20,43,43,2025-08-12 05:31,ok
XMR/USDT,spot,1m,20,55,0,2024-02-20 02:56,Zuletzt ruhig; don_len ggf. -20% testen
